app.js:7174 📦 [DATABASE STARTUP] Inspección de data-bundle.json
app.js:883 🏎️ [SPEED MATH] arcaninehisui | Speed Base: 90 | EV/IV Calc: 125 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 125
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Headsmash vs tyranitar | BP: 150 | Atk: 139 / Def: 130 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 92 - 108
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Extremespeed vs tyranitar | BP: 80 | Atk: 139 / Def: 130 | Modificadores: STAB(1), Efectividad(0.5), Clima(1), Spread(1) | Rango: 16 - 19
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Closecombat vs tyranitar | BP: 120 | Atk: 139 / Def: 130 | Modificadores: STAB(1), Efectividad(4), Clima(1), Spread(1) | Rango: 198 - 233
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Flareblitz vs excadrillmega | BP: 120 | Atk: 139 / Def: 120 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 161 - 189
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Headsmash vs excadrillmega | BP: 150 | Atk: 139 / Def: 120 | Modificadores: STAB(1.5), Efectividad(0.25), Clima(1), Spread(1) | Rango: 25 - 29
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Extremespeed vs excadrillmega | BP: 80 | Atk: 139 / Def: 120 | Modificadores: STAB(1), Efectividad(0.5), Clima(1), Spread(1) | Rango: 18 - 21
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Closecombat vs excadrillmega | BP: 120 | Atk: 139 / Def: 120 | Modificadores: STAB(1), Efectividad(2), Clima(1), Spread(1) | Rango: 107 - 126
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Flareblitz vs charizardmegay | BP: 120 | Atk: 139 / Def: 98 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 49 - 57
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Headsmash vs charizardmegay | BP: 150 | Atk: 139 / Def: 98 | Modificadores: STAB(1.5), Efectividad(4), Clima(1), Spread(1) | Rango: 487 - 573
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Extremespeed vs charizardmegay | BP: 80 | Atk: 139 / Def: 98 | Modificadores: STAB(1), Efectividad(1), Clima(1), Spread(1) | Rango: 44 - 51
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Closecombat vs charizardmegay | BP: 120 | Atk: 139 / Def: 98 | Modificadores: STAB(1), Efectividad(0.5), Clima(1), Spread(1) | Rango: 32 - 38
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Flareblitz vs whimsicott | BP: 120 | Atk: 139 / Def: 105 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 183 - 215
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Headsmash vs whimsicott | BP: 150 | Atk: 139 / Def: 105 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 113 - 134
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Extremespeed vs whimsicott | BP: 80 | Atk: 139 / Def: 105 | Modificadores: STAB(1), Efectividad(1), Clima(1), Spread(1) | Rango: 41 - 48
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Closecombat vs whimsicott | BP: 120 | Atk: 139 / Def: 105 | Modificadores: STAB(1), Efectividad(0.5), Clima(1), Spread(1) | Rango: 30 - 35
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Flareblitz vs venusaur | BP: 120 | Atk: 139 / Def: 103 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 186 - 219
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Headsmash vs venusaur | BP: 150 | Atk: 139 / Def: 103 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 116 - 136
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Extremespeed vs venusaur | BP: 80 | Atk: 139 / Def: 103 | Modificadores: STAB(1), Efectividad(1), Clima(1), Spread(1) | Rango: 42 - 49
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Closecombat vs venusaur | BP: 120 | Atk: 139 / Def: 103 | Modificadores: STAB(1), Efectividad(0.5), Clima(1), Spread(1) | Rango: 31 - 36
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Flareblitz vs aegislash | BP: 120 | Atk: 139 / Def: 160 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 122 - 143
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Headsmash vs aegislash | BP: 150 | Atk: 139 / Def: 160 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 37 - 44
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Extremespeed vs aegislash | BP: 80 | Atk: 139 / Def: 160 | Modificadores: STAB(1), Efectividad(0), Clima(1), Spread(1) | Rango: 0 - 0
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Closecombat vs aegislash | BP: 120 | Atk: 139 / Def: 160 | Modificadores: STAB(1), Efectividad(0), Clima(1), Spread(1) | Rango: 0 - 0
app.js:883 🏎️ [SPEED MATH] azumarill | Speed Base: 50 | EV/IV Calc: 70 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 70
app.js:1204 💥 [DAMAGE MATH] azumarill usa Aquajet vs arcaninehisui | BP: 40 | Atk: 162 / Def: 100 | Modificadores: STAB(1.5), Efectividad(4), Clima(1), Spread(1) | Rango: 155 - 183
app.js:1204 💥 [DAMAGE MATH] azumarill usa Playrough vs arcaninehisui | BP: 90 | Atk: 162 / Def: 100 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 42 - 49
app.js:1204 💥 [DAMAGE MATH] azumarill usa Liquidation vs arcaninehisui | BP: 85 | Atk: 162 / Def: 100 | Modificadores: STAB(1.5), Efectividad(4), Clima(1), Spread(1) | Rango: 319 - 375
app.js:1204 💥 [DAMAGE MATH] azumarill usa Aquajet vs kingambit | BP: 40 | Atk: 162 / Def: 140 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 28 - 33
app.js:1204 💥 [DAMAGE MATH] azumarill usa Playrough vs kingambit | BP: 90 | Atk: 162 / Def: 140 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 60 - 71
app.js:1204 💥 [DAMAGE MATH] azumarill usa Liquidation vs kingambit | BP: 85 | Atk: 162 / Def: 140 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 57 - 67
app.js:1204 💥 [DAMAGE MATH] azumarill usa Aquajet vs farigiraf | BP: 40 | Atk: 162 / Def: 90 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 42 - 50
app.js:1204 💥 [DAMAGE MATH] azumarill usa Playrough vs farigiraf | BP: 90 | Atk: 162 / Def: 90 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 93 - 109
app.js:1204 💥 [DAMAGE MATH] azumarill usa Liquidation vs farigiraf | BP: 85 | Atk: 162 / Def: 90 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 88 - 103
app.js:1204 💥 [DAMAGE MATH] azumarill usa Aquajet vs tyranitar | BP: 40 | Atk: 162 / Def: 130 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 61 - 71
app.js:1204 💥 [DAMAGE MATH] azumarill usa Playrough vs tyranitar | BP: 90 | Atk: 162 / Def: 130 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 130 - 154
app.js:1204 💥 [DAMAGE MATH] azumarill usa Liquidation vs tyranitar | BP: 85 | Atk: 162 / Def: 130 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 123 - 145
app.js:1204 💥 [DAMAGE MATH] azumarill usa Aquajet vs excadrillmega | BP: 40 | Atk: 162 / Def: 120 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 65 - 77
app.js:1204 💥 [DAMAGE MATH] azumarill usa Playrough vs excadrillmega | BP: 90 | Atk: 162 / Def: 120 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 35 - 41
app.js:1204 💥 [DAMAGE MATH] azumarill usa Liquidation vs excadrillmega | BP: 85 | Atk: 162 / Def: 120 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 133 - 157
app.js:1204 💥 [DAMAGE MATH] azumarill usa Aquajet vs charizardmegay | BP: 40 | Atk: 162 / Def: 98 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 79 - 93
app.js:1204 💥 [DAMAGE MATH] azumarill usa Playrough vs charizardmegay | BP: 90 | Atk: 162 / Def: 98 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 43 - 50
app.js:1204 💥 [DAMAGE MATH] azumarill usa Liquidation vs charizardmegay | BP: 85 | Atk: 162 / Def: 98 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 162 - 191
app.js:1204 💥 [DAMAGE MATH] azumarill usa Aquajet vs whimsicott | BP: 40 | Atk: 162 / Def: 105 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 18 - 21
app.js:1204 💥 [DAMAGE MATH] azumarill usa Playrough vs whimsicott | BP: 90 | Atk: 162 / Def: 105 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 80 - 94
app.js:1204 💥 [DAMAGE MATH] azumarill usa Liquidation vs whimsicott | BP: 85 | Atk: 162 / Def: 105 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 38 - 44
app.js:1204 💥 [DAMAGE MATH] azumarill usa Aquajet vs venusaur | BP: 40 | Atk: 162 / Def: 103 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 18 - 22
app.js:1204 💥 [DAMAGE MATH] azumarill usa Playrough vs venusaur | BP: 90 | Atk: 162 / Def: 103 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 40 - 48
app.js:1204 💥 [DAMAGE MATH] azumarill usa Liquidation vs venusaur | BP: 85 | Atk: 162 / Def: 103 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 38 - 45
app.js:1204 💥 [DAMAGE MATH] azumarill usa Aquajet vs aegislash | BP: 40 | Atk: 162 / Def: 160 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 25 - 29
app.js:1204 💥 [DAMAGE MATH] azumarill usa Playrough vs aegislash | BP: 90 | Atk: 162 / Def: 160 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 26 - 31
app.js:1204 💥 [DAMAGE MATH] azumarill usa Liquidation vs aegislash | BP: 85 | Atk: 162 / Def: 160 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 50 - 59
app.js:1204 💥 [DAMAGE MATH] azumarill usa Aquajet vs azumarill | BP: 40 | Atk: 162 / Def: 100 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 19 - 22
app.js:1204 💥 [DAMAGE MATH] azumarill usa Playrough vs azumarill | BP: 90 | Atk: 162 / Def: 100 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 84 - 99
app.js:1204 💥 [DAMAGE MATH] azumarill usa Liquidation vs azumarill | BP: 85 | Atk: 162 / Def: 100 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 39 - 46
app.js:883 🏎️ [SPEED MATH] kingambit | Speed Base: 50 | EV/IV Calc: 74 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 74
app.js:1204 💥 [DAMAGE MATH] kingambit usa Suckerpunch vs arcaninehisui | BP: 70 | Atk: 174 / Def: 100 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 70 - 83
app.js:1204 💥 [DAMAGE MATH] kingambit usa Kowtowcleave vs arcaninehisui | BP: 85 | Atk: 174 / Def: 100 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 85 - 100
app.js:1204 💥 [DAMAGE MATH] kingambit usa Ironhead vs arcaninehisui | BP: 80 | Atk: 174 / Def: 100 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 80 - 94
app.js:1204 💥 [DAMAGE MATH] kingambit usa Suckerpunch vs azumarill | BP: 70 | Atk: 174 / Def: 100 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 35 - 41
app.js:1204 💥 [DAMAGE MATH] kingambit usa Kowtowcleave vs azumarill | BP: 85 | Atk: 174 / Def: 100 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 42 - 50
app.js:1204 💥 [DAMAGE MATH] kingambit usa Ironhead vs azumarill | BP: 80 | Atk: 174 / Def: 100 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 80 - 94
app.js:1204 💥 [DAMAGE MATH] kingambit usa Suckerpunch vs farigiraf | BP: 70 | Atk: 174 / Def: 90 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 156 - 184
app.js:1204 💥 [DAMAGE MATH] kingambit usa Kowtowcleave vs farigiraf | BP: 85 | Atk: 174 / Def: 90 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 189 - 222
app.js:1204 💥 [DAMAGE MATH] kingambit usa Ironhead vs farigiraf | BP: 80 | Atk: 174 / Def: 90 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 89 - 105
app.js:1204 💥 [DAMAGE MATH] kingambit usa Suckerpunch vs tyranitar | BP: 70 | Atk: 174 / Def: 130 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 27 - 32
app.js:1204 💥 [DAMAGE MATH] kingambit usa Kowtowcleave vs tyranitar | BP: 85 | Atk: 174 / Def: 130 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 33 - 39
app.js:1204 💥 [DAMAGE MATH] kingambit usa Ironhead vs tyranitar | BP: 80 | Atk: 174 / Def: 130 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 125 - 147
app.js:1204 💥 [DAMAGE MATH] kingambit usa Suckerpunch vs excadrillmega | BP: 70 | Atk: 174 / Def: 120 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 59 - 69
app.js:1204 💥 [DAMAGE MATH] kingambit usa Kowtowcleave vs excadrillmega | BP: 85 | Atk: 174 / Def: 120 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 71 - 84
app.js:1204 💥 [DAMAGE MATH] kingambit usa Ironhead vs excadrillmega | BP: 80 | Atk: 174 / Def: 120 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 33 - 39
app.js:1204 💥 [DAMAGE MATH] kingambit usa Suckerpunch vs charizardmegay | BP: 70 | Atk: 174 / Def: 98 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 72 - 85
app.js:1204 💥 [DAMAGE MATH] kingambit usa Kowtowcleave vs charizardmegay | BP: 85 | Atk: 174 / Def: 98 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 87 - 102
app.js:1204 💥 [DAMAGE MATH] kingambit usa Ironhead vs charizardmegay | BP: 80 | Atk: 174 / Def: 98 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 41 - 48
app.js:1204 💥 [DAMAGE MATH] kingambit usa Suckerpunch vs whimsicott | BP: 70 | Atk: 174 / Def: 105 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 33 - 39
app.js:1204 💥 [DAMAGE MATH] kingambit usa Kowtowcleave vs whimsicott | BP: 85 | Atk: 174 / Def: 105 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 40 - 47
app.js:1204 💥 [DAMAGE MATH] kingambit usa Ironhead vs whimsicott | BP: 80 | Atk: 174 / Def: 105 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 153 - 180
app.js:1204 💥 [DAMAGE MATH] kingambit usa Suckerpunch vs venusaur | BP: 70 | Atk: 174 / Def: 103 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 68 - 81
app.js:1204 💥 [DAMAGE MATH] kingambit usa Kowtowcleave vs venusaur | BP: 85 | Atk: 174 / Def: 103 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 83 - 97
app.js:1204 💥 [DAMAGE MATH] kingambit usa Ironhead vs venusaur | BP: 80 | Atk: 174 / Def: 103 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 78 - 92
app.js:1204 💥 [DAMAGE MATH] kingambit usa Suckerpunch vs aegislash | BP: 70 | Atk: 174 / Def: 160 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 90 - 106
app.js:1204 💥 [DAMAGE MATH] kingambit usa Kowtowcleave vs aegislash | BP: 85 | Atk: 174 / Def: 160 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 108 - 128
app.js:1204 💥 [DAMAGE MATH] kingambit usa Ironhead vs aegislash | BP: 80 | Atk: 174 / Def: 160 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 25 - 30
app.js:883 🏎️ [SPEED MATH] farigiraf | Speed Base: 60 | EV/IV Calc: 72 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 72
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Hypervoice vs arcaninehisui | BP: 90 | Atk: 147 / Def: 100 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(0.75) | Rango: 28 - 33
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Psychic vs arcaninehisui | BP: 90 | Atk: 147 / Def: 100 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 76 - 90
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Hypervoice vs azumarill | BP: 90 | Atk: 147 / Def: 100 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(0.75) | Rango: 57 - 67
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Psychic vs azumarill | BP: 90 | Atk: 147 / Def: 100 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 76 - 90
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Hypervoice vs kingambit | BP: 90 | Atk: 147 / Def: 105 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(0.75) | Rango: 27 - 32
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Psychic vs kingambit | BP: 90 | Atk: 147 / Def: 105 | Modificadores: STAB(1.5), Efectividad(0), Clima(1), Spread(1) | Rango: 0 - 0
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Hypervoice vs tyranitar | BP: 90 | Atk: 147 / Def: 120 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(0.75) | Rango: 24 - 28
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Psychic vs tyranitar | BP: 90 | Atk: 147 / Def: 120 | Modificadores: STAB(1.5), Efectividad(0), Clima(1), Spread(1) | Rango: 0 - 0
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Hypervoice vs excadrillmega | BP: 90 | Atk: 147 / Def: 85 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(0.75) | Rango: 33 - 39
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Psychic vs excadrillmega | BP: 90 | Atk: 147 / Def: 85 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 44 - 52
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Hypervoice vs charizardmegay | BP: 90 | Atk: 147 / Def: 135 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(0.75) | Rango: 43 - 50
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Psychic vs charizardmegay | BP: 90 | Atk: 147 / Def: 135 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 57 - 67
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Hypervoice vs whimsicott | BP: 90 | Atk: 147 / Def: 95 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(0.75) | Rango: 60 - 71
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Psychic vs whimsicott | BP: 90 | Atk: 147 / Def: 95 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 80 - 94
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Hypervoice vs farigiraf | BP: 90 | Atk: 147 / Def: 90 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(0.75) | Rango: 63 - 75
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Psychic vs farigiraf | BP: 90 | Atk: 147 / Def: 90 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 42 - 50
app.js:1204 💥 [DAMAGE MATH] farigiraf usa Hypervoice vs venusaur | BP: 90 | Atk: 147 / Def: 120 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(0.75) | Rango: 48 - 56
